Index,Year,Month,Day,Start_Hour,End_Hour,Radar_Image_Hr,Radar_Image_Min,SG_Pass,LB_Pass,Date_Change_Event,Date_Change_Radar,Multiple_Band,48hrs_Not_Past,Sensitivity_Test,Associated_FFW,FFW_Start_Time,FFW_End_Time,WFO
0,1995,1,3,11,15,11,50,0,0,0,0,0,0,0,False,N/A,N/A,N/A
1,1995,1,25,10,12,10,55,0,0,0,0,0,0,0,True,1995-01-25 11:00:00,1995-01-25 17:00:00,LOX
2,1995,3,11,1,4,3,20,0,0,0,0,0,0,1,False,N/A,N/A,N/A
3,1996,10,30,6,23,19,28,0,0,0,0,0,0,0,False,N/A,N/A,N/A
4,1997,1,12,22,1,23,0,0,0,1,0,0,0,0,True,1997-01-13 09:00:00,1997-01-13 11:00:00,SGX
5,1997,11,26,16,20,17,15,1,1,0,0,0,0,0,False,N/A,N/A,N/A
6,1998,2,3,9,15,13,10,1,1,0,0,1,1,1,True,1998-02-03 12:48:00,1998-02-03 16:45:00,LOX
7,1998,2,3,13,18,14,20,1,1,0,0,0,0,0,True,1998-02-03 19:50:00,1998-02-03 23:00:00,LOX
8,1998,2,3,14,21,17,45,0,0,0,0,1,1,1,True,1998-02-03 19:50:00,1998-02-03 23:00:00,LOX
9,1998,2,6,14,18,16,10,0,0,0,0,0,0,0,True,1998-02-06 20:00:00,1998-02-06 21:00:00,LOX
10,1998,2,20,0,6,1,35,0,1,0,0,0,0,0,False,N/A,N/A,N/A
11,1998,3,25,18,23,20,5,0,1,0,0,0,0,0,True,1998-03-25 21:29:00,1998-03-25 22:30:00,SGX
12,1998,5,12,17,1,20,15,1,1,1,0,0,0,0,False,N/A,N/A,N/A
13,1998,11,28,10,12,11,0,0,0,0,0,0,0,0,False,N/A,N/A,N/A
14,1998,11,28,12,15,13,35,0,0,0,0,1,1,1,False,N/A,N/A,N/A
15,1999,1,31,11,18,16,15,1,1,0,0,0,0,0,False,N/A,N/A,N/A
16,1999,3,15,13,18,15,55,1,1,0,0,0,0,0,False,N/A,N/A,N/A
17,1999,3,25,13,18,16,10,0,0,0,0,0,0,0,False,N/A,N/A,N/A
18,2000,2,21,3,6,4,5,1,1,0,0,0,0,0,True,2000-02-21 04:50:00,2000-02-21 08:00:00,LOX
19,2000,2,21,15,18,16,10,0,0,0,0,1,1,1,True,2000-02-21 21:45:00,2000-02-21 23:45:00,SGX
20,2000,2,23,21,1,23,15,1,1,1,0,0,0,0,True,2000-02-23 21:20:00,2000-02-23 23:00:00,LOX
21,2000,3,5,17,20,18,25,1,1,0,0,0,0,0,False,N/A,N/A,N/A
22,2001,1,11,2,8,7,10,0,0,0,0,0,0,0,True,2001-01-11 08:00:00,2001-01-11 11:00:00,LOX
23,2001,3,6,7,10,7,55,0,0,0,0,0,0,0,False,N/A,N/A,N/A
24,2001,3,6,9,13,9,46,0,1,0,0,1,1,1,False,N/A,N/A,N/A
25,2001,11,12,22,3,1,35,1,1,1,1,0,0,0,False,N/A,N/A,N/A
26,2002,12,20,0,5,4,0,0,0,0,0,0,0,0,True,2002-12-20 07:12:00,2002-12-20 09:00:00,LOX
27,2002,12,28,23,3,0,10,0,0,1,1,0,0,0,False,N/A,N/A,N/A
28,2003,4,14,21,0,22,50,0,0,1,0,0,0,0,False,N/A,N/A,N/A
29,2003,12,26,1,3,2,15,0,0,0,0,0,0,0,True,2003-12-26 01:52:00,2003-12-26 06:00:00,SGX
30,2004,2,3,5,8,6,25,1,1,0,0,0,0,0,True,2004-02-03 06:26:00,2004-02-03 09:30:00,SGX
31,2004,10,20,13,19,17,32,0,0,0,0,0,0,0,True,2004-10-20 16:01:00,2004-10-20 18:00:00,SGX
32,2004,10,27,6,14,9,51,0,0,0,0,0,0,0,True,2004-10-27 06:01:00,2004-10-27 09:00:00,SGX
33,2004,12,28,5,8,6,35,0,0,0,0,1,1,1,True,2004-12-28 06:08:00,2004-12-28 07:30:00,LOX
34,2004,12,28,8,12,8,50,0,0,0,0,0,0,1,True,2004-12-28 12:39:00,2004-12-28 14:30:00,LOX
35,2004,12,28,13,18,16,50,1,1,0,0,1,1,1,True,2004-12-28 13:58:00,2004-12-28 17:00:00,LOX
36,2004,12,29,6,9,8,25,1,1,0,0,0,1,0,True,2004-12-29 13:46:00,2004-12-29 16:00:00,SGX
37,2004,12,29,10,13,11,10,0,0,0,0,1,1,1,True,2004-12-29 13:46:00,2004-12-29 16:00:00,SGX
38,2005,2,21,10,16,12,35,0,0,0,0,1,1,1,True,2005-02-21 15:43:00,2005-02-21 18:00:00,SGX
39,2005,2,21,15,19,17,40,0,1,0,0,0,0,0,True,2005-02-21 15:43:00,2005-02-21 18:00:00,SGX
40,2005,4,28,11,15,12,45,1,1,0,0,0,0,0,True,2005-04-28 12:52:00,2005-04-28 15:00:00,SGX
41,2005,11,9,11,15,12,35,0,0,0,0,0,0,0,False,N/A,N/A,N/A
42,2006,1,2,17,22,20,45,1,1,0,0,0,0,0,True,2006-01-02 18:37:00,2006-01-03 00:30:00,SGX
43,2006,3,3,16,18,16,55,0,1,0,0,0,0,1,True,2006-03-03 16:04:00,2006-03-03 18:00:00,LOX
44,2006,3,21,7,12,7,58,0,0,0,0,0,0,0,False,N/A,N/A,N/A
45,2006,4,5,3,6,4,45,0,0,0,0,0,0,0,True,2006-04-05 09:18:00,2006-04-05 11:00:00,SGX
46,2006,5,21,21,5,0,50,0,0,1,1,1,1,1,False,N/A,N/A,N/A
47,2006,5,22,7,11,10,0,0,0,0,0,0,0,0,False,N/A,N/A,N/A
48,2006,12,10,1,8,2,15,0,1,0,0,0,0,0,True,2006-12-10 04:44:00,2006-12-10 05:45:00,LOX
49,2007,2,22,16,22,18,20,0,0,0,0,0,0,0,False,N/A,N/A,N/A
50,2007,4,20,17,0,21,5,1,1,1,0,0,0,0,False,N/A,N/A,N/A
51,2008,1,23,23,5,3,15,1,1,1,1,0,0,0,True,2008-01-24 03:22:00,2008-01-24 04:15:00,LOX
52,2008,12,25,22,3,0,26,0,0,1,1,0,0,1,False,N/A,N/A,N/A
53,2009,2,13,17,2,17,35,0,1,1,0,0,0,0,False,N/A,N/A,N/A
54,2009,2,16,16,19,17,45,0,0,0,0,0,0,0,False,N/A,N/A,N/A
55,2009,12,7,22,1,23,29,0,0,1,0,0,0,1,False,N/A,N/A,N/A
56,2009,12,13,10,12,11,0,0,1,0,0,0,0,0,False,N/A,N/A,N/A
57,2010,1,18,22,1,23,40,1,1,1,0,0,0,0,True,2010-01-19 00:00:00,2010-01-19 01:00:00,SGX
58,2010,1,19,17,23,22,1,0,1,0,0,0,1,0,False,N/A,N/A,N/A
59,2010,1,20,23,4,1,5,0,1,1,1,0,1,0,True,2010-01-20 23:42:00,2010-01-21 02:30:00,LOX
60,2010,4,11,23,13,10,51,1,1,1,1,0,0,0,True,2010-04-12 07:36:00,2010-04-12 10:01:00,LOX
61,2010,11,21,9,18,12,28,1,1,0,0,0,0,0,True,2010-11-21 09:23:00,2010-11-21 10:45:00,LOX
62,2011,2,26,8,13,11,25,1,1,0,0,0,0,0,False,N/A,N/A,N/A
63,2011,3,20,9,17,15,5,0,0,0,0,1,1,1,True,2011-03-20 22:00:00,2011-03-21 00:45:00,LOX
64,2011,3,20,23,5,2,45,0,1,1,1,0,0,0,True,2011-03-21 00:47:00,2011-03-21 02:45:00,LOX
65,2011,11,6,17,21,18,54,0,0,0,0,0,0,1,False,N/A,N/A,N/A
66,2011,11,20,12,4,1,54,1,1,1,1,0,0,0,False,N/A,N/A,N/A
67,2012,3,17,18,21,19,1,0,0,0,0,0,0,0,False,N/A,N/A,N/A
68,2012,3,25,16,1,22,56,1,1,1,0,0,0,0,False,N/A,N/A,N/A
69,2012,4,13,13,23,22,30,1,1,0,0,0,0,0,False,N/A,N/A,N/A
70,2012,12,13,11,18,12,35,0,0,0,0,0,0,0,False,N/A,N/A,N/A
71,2013,3,8,9,13,11,5,0,1,0,0,0,0,0,False,N/A,N/A,N/A
72,2014,2,28,16,20,17,40,1,0,0,0,0,0,0,True,2014-02-28 23:18:00,2014-03-01 00:15:00,SGX
73,2014,2,28,21,1,23,30,1,1,1,0,1,1,1,True,2014-02-28 23:18:00,2014-03-01 00:15:00,SGX
74,2014,12,12,6,14,11,45,1,1,0,0,0,0,0,True,2014-12-12 07:04:00,2014-12-12 08:30:00,LOX
75,2016,1,31,18,0,21,58,1,1,1,0,0,0,0,True,2016-01-31 21:59:00,2016-02-01 01:00:00,SGX
76,2016,3,7,8,17,15,20,1,1,0,0,0,0,0,True,2016-03-07 12:44:00,2016-03-07 14:15:00,LOX
77,2016,3,11,18,1,22,55,1,1,1,0,0,0,0,True,2016-03-11 19:42:00,2016-03-11 21:30:00,LOX
78,2017,1,20,19,0,19,40,0,0,1,0,0,0,1,True,2017-01-20 22:38:00,2017-01-21 01:30:00,SGX
79,2017,2,17,22,4,1,30,1,1,1,1,0,0,0,True,2017-02-17 22:23:00,2017-02-18 01:15:00,LOX
80,2018,1,9,7,15,11,50,0,1,0,0,0,0,0,True,2018-01-09 10:56:00,2018-01-09 15:00:00,LOX
81,2019,1,5,20,9,5,48,0,1,1,1,0,0,0,True,2019-01-06 05:40:00,2019-01-06 07:27:00,LOX
82,2019,1,12,3,12,10,25,0,1,0,0,0,0,0,False,N/A,N/A,N/A
83,2019,1,14,17,19,17,44,0,0,0,0,0,0,0,False,N/A,N/A,N/A
84,2019,1,14,16,20,18,43,0,0,0,0,1,1,1,False,N/A,N/A,N/A
85,2019,1,31,11,22,19,3,0,1,0,0,0,0,0,False,N/A,N/A,N/A
86,2019,2,2,13,1,22,0,1,1,1,0,0,0,0,True,2019-02-02 22:35:00,2019-02-03 01:30:00,SGX
87,2019,2,4,12,19,13,50,0,0,0,0,0,1,0,True,2019-02-04 17:27:00,2019-02-04 19:48:00,LOX
88,2019,11,27,13,16,14,58,0,0,0,0,0,0,0,False,N/A,N/A,N/A
89,2019,11,28,15,20,17,53,0,0,0,0,0,1,0,True,2019-11-28 17:22:00,2019-11-28 20:15:00,SGX
90,2019,12,23,12,15,13,48,0,0,0,0,0,0,0,False,N/A,N/A,N/A
91,2019,12,26,9,16,10,50,0,0,0,0,0,0,0,False,N/A,N/A,N/A
92,2020,3,16,22,6,22,59,0,1,1,0,0,0,0,False,N/A,N/A,N/A
93,2020,3,23,3,9,7,21,0,0,0,0,0,0,0,False,N/A,N/A,N/A
